"id","nombre","idprovincia"
"1","Abasto","1"
"2","Abbott","1"
"3","Acassuso","1"
"4","Acevedo","1"
"5","Adolfo Gonzales Chaves (Est. Chaves)","1"
"6","Adrogue","1"
"7","Aeropuerto Internacional Ezeiza","1"
"8","Aguas Verdes","1"
"9","Agustin Mosconi","1"
"10","Agustin Roca","1"
"11","Agustina","1"
"12","Alberdi Viejo","1"
"13","Alberti (Est. Andres Vaccarezza)","1"
"14","Aldo Bonzi","1"
"15","Alejandro Korn","1"
"16","Alejandro Petion","1"
"17","Alfredo Demarchi (Est. Facundo Quiroga)","1"
"18","Almirante Brown","1"
"19","Altamirano","1"
"20","Alto Los Cardales","1"
"21","Álvarez De Toledo","1"
"22","Alvarez Jonte","1"
"23","America","1"
"24","Andant","1"
"25","Angel Etcheverry","1"
"26","Antonio Carboni","1"
"27","Aparicio","1"
"28","Arana","1"
"29","Arboledas","1"
"30","Área Cinturon Ecologico","1"
"31","Area De Promocion El Triangulo","1"
"32","Arenas Verdes","1"
"33","Arenaza","1"
"34","Argerich","1"
"35","Ariel","1"
"36","Arrecifes","1"
"37","Arribeños","1"
"38","Arroyo Corto","1"
"39","Arroyo De La Cruz","1"
"40","Arroyo Dulce","1"
"41","Arroyo Venado","1"
"42","Arturo Segui","1"
"43","Ascension","1"
"44","Atalaya","1"
"45","Atlantida","1"
"46","Avellaneda","1"
"47","Ayacucho","1"
"48","Azcuenaga","1"
"49","Azopardo","1"
"50","Azul","1"
"51","Bahia Blanca","1"
"52","Bahia San Blas","1"
"53","Baigorrita","1"
"54","Bajo Hondo","1"
"55","Balcarce","1"
"56","Balneario Laguna De Gomez","1"
"57","Balneario Marisol","1"
"58","Balneario Orense","1"
"59","Balneario Pehuen Co","1"
"60","Balneario San Cayetano","1"
"61","Balneario Sauce Grande","1"
"62","Banderalo","1"
"63","Banfield","1"
"64","Baradero","1"
"65","Barker","1"
"66","Barrio America Unida","1"
"67","Barrio Banco Provincia","1"
"68","Barrio Belgrano","1"
"69","Barrio Colinas Verdes","1"
"70","Barrio El Boqueron","1"
"71","Barrio El Carmen (Este)","1"
"72","Barrio El Carmen (Oeste)","1"
"73","Barrio El Casal","1"
"74","Barrio El Coyunco","1"
"75","Barrio El Taladro","1"
"76","Barrio Gambier","1"
"77","Barrio Kennedy","1"
"78","Barrio La Gloria","1"
"79","Barrio Las Casuarinas","1"
"80","Barrio Las Golondrinas","1"
"81","Barrio Las Malvinas","1"
"82","Barrio Las Quintas","1"
"83","Barrio Los Bosquecitos","1"
